title,symptom_keywords,symptom_keywords,recommendation,
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function","Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function","Immobilization, Surgery, Rehabilitation",
Round Ligament Pain,Sharp or aching pain in the lower abdomen or groin,Sharp or aching pain in the lower abdomen or groin,"Resting, changing positions slowly, warm compresses, gentle stretching, avoiding sudden movements",
Autism,"Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors","Challenges with social interaction, communication difficulties, restricted interests or repetitive behaviors","Behavioral therapy, educational interventions, speech and language therapy, medications for associated symptoms",
Pleomorphic adenoma,"Painless lump or swelling, Facial changes","Painless lump or swelling, Facial changes",Surgical excision,
Otosclerosis,"Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Hearing loss (gradual and progressive), tinnitus (ringing in the ears), dizziness or balance problems","Hearing aids, surgical interventions (such as stapedectomy or stapedotomy to replace the affected bone in the middle ear), sodium fluoride therapy (to slow down the progression of the condition), communication strategies and support (such as lip-reading or sign language), regular hearing assessments",
Bulimia Nervosa,Recurrent episodes of binge eating followed by purging behaviors,Recurrent episodes of binge eating followed by purging behaviors,"Psychotherapy (such as cognitive-behavioral therapy or dialectical behavior therapy), nutritional counseling, medications (in some cases), support groups",
Poisoning due to Analgesics,"Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","Nausea, vomiting, abdominal pain, liver or kidney damage, dizziness, confusion, respiratory distress","Immediate medical attention, activated charcoal administration, supportive care, antidote (if available), treatment for complications",
Pseudohypoparathyroidism,"Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face","Hypocalcemia (low calcium levels), tetany (muscle spasms), short stature, rounded face","Calcium and vitamin D supplementation, management of complications, hormone replacement therapy (if necessary)",
Dermatitis due to Sun Exposure,"Redness, itching, rash, blistering","Redness, itching, rash, blistering","Topical corticosteroids, moisturizers, avoiding sun exposure",
Anemia due to Malignancy,"Fatigue, weakness, shortness of breath, pale skin","Fatigue, weakness, shortness of breath, pale skin","Treating underlying malignancy, blood transfusions, medications (erythropoiesis-stimulating agents, iron supplements)",
Hyperhidrosis,"Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities","Excessive sweating (beyond what is necessary for temperature regulation), typically in specific areas (such as palms, soles, underarms), may interfere with daily activities","Antiperspirants, medications (anticholinergics, beta blockers), iontophoresis, Botox injections, surgical interventions (sympathectomy, sweat gland removal)",
Otitis Media,"Ear pain, fever, fluid drainage from the ear","Ear pain, fever, fluid drainage from the ear","Antibiotics (if bacterial infection), pain relievers, observation (in some cases)",
Benign Kidney Cyst,"Abdominal or flank pain, blood in urine, frequent urination","Abdominal or flank pain, blood in urine, frequent urination","Observation, medication (if needed), surgery (in rare cases)",
Pain after an Operation,"Surgical site pain, discomfort, swelling","Surgical site pain, discomfort, swelling","Pain medications, ice packs, rest, wound care",
Chronic Knee Pain,"Persistent knee pain, stiffness, swelling, limited range of motion","Persistent knee pain, stiffness, swelling, limited range of motion","Pain management, physical therapy, lifestyle modifications, knee braces or supports",
Volvulus,"Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool","Abdominal pain, nausea, vomiting, bloating, constipation, bloody stool",Emergency surgery to untwist the affected organ and restore blood flow,
Scurvy,"Fatigue, swollen and bleeding gums, joint pain","Fatigue, swollen and bleeding gums, joint pain","Vitamin C supplementation, dietary changes, oral hygiene maintenance",
Urinary Stones (Kidney Stones),"Severe abdominal or back pain, blood in urine, frequent urination, pain during urination","Severe abdominal or back pain, blood in urine, frequent urination, pain during urination","Pain management, increased fluid intake, medications to help pass the stones, procedures or surgery",
Injury to the Finger,"Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger","Pain, swelling, bruising, deformity, restricted range of motion, difficulty gripping or using the finger","RICE method (Rest, Ice, Compression, Elevation), splinting, pain medication, physical therapy, surgery (in severe cases)",
Retinal Detachment,"Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss","Floaters (spots or cobweb-like shapes in vision), flashes of light, curtain-like shadow over vision, sudden vision loss","Surgical intervention (pneumatic retinopexy, scleral buckle, vitrectomy), laser therapy, cryotherapy, gas or silicone oil injection, positioning, regular eye exams",
Chronic Rheumatic Fever,"Joint pain, fever, rash, heart inflammation","Joint pain, fever, rash, heart inflammation","Antibiotics (to treat streptococcal infections), anti-inflammatory medications, medications for heart complications",
Acute Bronchospasm,"Wheezing, shortness of breath, chest tightness","Wheezing, shortness of breath, chest tightness","Bronchodilators (inhaled medications), corticosteroids, supplemental oxygen (if needed)",
Vulvodynia,"Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Persistent pain or discomfort in the vulva, burning, stinging, rawness, itching","Topical medications (such as lidocaine or estrogen creams), nerve blocks, physical therapy (including pelvic floor muscle relaxation exercises), cognitive-behavioral therapy (CBT), biofeedback, medications (such as tricyclic antidepressants or anticonvulsants), vulvar care and hygiene practices, stress management techniques, alternative therapies (such as acupuncture or herbal remedies)",
Other Specified Feeding or Eating Disorder (OSFED),Symptoms that do not meet the full criteria for a specific eating disorder,Symptoms that do not meet the full criteria for a specific eating disorder,"Treatment is based on the specific symptoms and can include a combination of psychotherapy, nutritional counseling, medical monitoring, and medications as necessary",
Anemia due to Chronic Kidney Disease,"Fatigue, weakness, pale skin","Fatigue, weakness, pale skin","Erythropoiesis-stimulating agents (ESA), iron supplementation, blood transfusions (in severe cases)",
Pemphigus,Painful blisters on the skin and mucous membranes,Painful blisters on the skin and mucous membranes,"Corticosteroids, immunosuppressants, wound care",
Syphilis,"Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","Primary stage: painless sores (chancre) at the site of infection, secondary stage: skin rash, fever, swollen lymph nodes, sore throat, latent stage: no symptoms, tertiary stage: severe complications affecting the heart, brain, and other organs","Antibiotics (usually penicillin), treatment of complications, regular follow-up and testing",
Omphalitis,"Redness, swelling, discharge, foul odor around the umbilical area","Redness, swelling, discharge, foul odor around the umbilical area","Antibiotics, wound care, surgical intervention (in severe cases)",
Idiopathic Nonmenstrual Bleeding,"Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding","Abnormal vaginal bleeding outside of the menstrual period, unpredictable bleeding episodes, bleeding after sexual intercourse, bleeding after menopause, spotting or light bleeding between periods, prolonged or heavy bleeding","Evaluation to rule out underlying causes (such as hormonal imbalances, polyps, infections, or uterine abnormalities), hormonal therapy (such as birth control pills, hormone replacement therapy), non-hormonal medications (such as tranexamic acid), dilation and curettage (if necessary to remove excessive tissue or investigate the cause), endometrial ablation (in some cases), hysteroscopy (to examine the uterus), surgery (in rare cases), counseling or support for emotional well-being",
Myofascial Pain Syndrome,"Localized muscle pain, trigger points","Localized muscle pain, trigger points","Physical therapy, trigger point injections, dry needling, medications (such as pain relievers, muscle relaxants), relaxation techniques, stress management, massage therapy, myofascial release, heat or cold therapy",
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue","Hoarseness, Vocal Changes, Vocal Fatigue","Voice Rest, Speech Therapy, Surgical Removal",
Rotator Cuff Injury,"Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","Shoulder pain, weakness or loss of strength, limited range of motion, shoulder stiffness","Non-surgical treatment options: Rest, ice or heat therapy, pain medications, physical therapy exercises, Arthroscopic surgery",
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes","Widespread musculoskeletal pain, fatigue, sleep disturbances, cognitive difficulties (fibro fog), mood changes","Multidisciplinary approach: Medications for pain management (such as analgesics, antidepressants, and anticonvulsants), physical therapy, occupational therapy, cognitive-behavioral therapy, relaxation techniques, stress management, exercise programs",
Hypercalcemia,"Fatigue, nausea, excessive thirst, kidney stones","Fatigue, nausea, excessive thirst, kidney stones","Treating underlying cause, hydration, medications",
Secondary Glaucoma,Varies depending on the underlying cause,Varies depending on the underlying cause,"Treatment of the underlying condition (e.g., medication adjustments, surgery, trauma management, tumor removal, inflammation control)",
Drug Reaction,"Rash, itching, swelling, fever, respiratory symptoms","Rash, itching, swelling, fever, respiratory symptoms","Discontinuation of the offending drug, supportive care, antihistamines, corticosteroids (in severe cases)",
Acute Sinusitis,"Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Facial pain or pressure, nasal congestion, thick nasal discharge, post-nasal drip, cough, headache, fatigue, fever (in some cases)","Home remedies (such as nasal saline irrigation, steam inhalation), over-the-counter pain relievers (such as acetaminophen or ibuprofen), nasal decongestants (for short-term use), nasal corticosteroids (to reduce inflammation), plenty of fluids and rest, warm compresses, avoidance of irritants (such as smoke or allergens), prescription antibiotics (if bacterial infection is suspected or confirmed), management of underlying causes (such as allergies or nasal polyps), symptom relief medications (such as cough suppressants or antihistamines)",
Polycystic Ovarian Syndrome,"Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts","Irregular periods, excessive hair growth, acne, weight gain, ovarian cysts","Lifestyle changes (diet, exercise, weight management), hormonal contraceptives, fertility treatments (if needed)",
Complex Regional Pain Syndrome (CRPS),"Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Severe and persistent pain, changes in skin color or temperature, swelling, stiffness","Medications (such as pain relievers, corticosteroids, anticonvulsants), physical therapy, sympathetic nerve blocks, spinal cord stimulation, occupational therapy, mirror therapy, psychotherapy, graded motor imagery, stress management techniques",
Optic Neuritis,"Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters","Vision loss or blurry vision, eye pain with eye movement, color vision impairment, flashing lights or floaters","High-dose intravenous corticosteroids, treatment of underlying cause, symptom management, visual rehabilitation",
Adrenal Cancer,"Abdominal or back pain, unexplained weight loss, hormonal imbalances","Abdominal or back pain, unexplained weight loss, hormonal imbalances","Surgery (adrenalectomy), chemotherapy, radiation therapy, targeted therapy, hormone replacement therapy",
Intracranial Abscess,"Headache, fever, neurological deficits","Headache, fever, neurological deficits","Antibiotics, surgical drainage or removal of the abscess, supportive care",
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling","Lump, swelling, Facial numbness, tingling","Surgery, Radiation therapy",
Fracture of the Patella,"Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity","Severe pain, swelling, bruising, difficulty straightening or bending the knee, deformity","Immobilization (splint, cast, or brace), pain management, physical therapy, exercises to restore mobility and strength, potential surgical intervention (in severe cases or if displacement is present)",
Restless Leg Syndrome,"Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief","Uncomfortable sensation in the legs, usually in the evening or at night, urge to move legs for relief","Lifestyle changes (such as regular exercise, avoiding triggers like caffeine), good sleep hygiene (maintaining a regular sleep schedule), leg massages or stretching exercises, hot or cold packs, medication therapy (such as dopamine agonists, anticonvulsants, opioids), iron supplementation (if iron deficiency is present)",
Cold Sore,"Small, painful blisters on the lips or around the mouth","Small, painful blisters on the lips or around the mouth","Antiviral medications (topical or oral), pain relievers, antiviral creams, self-care measures",
Chronic Kidney Disease,"Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Fatigue, swelling of the legs or ankles, decreased appetite, difficulty concentrating, increased urination or urine changes, blood in urine, high blood pressure","Management of underlying conditions (such as diabetes or high blood pressure), lifestyle modifications (such as healthy diet, regular exercise, smoking cessation), medications (such as ACE inhibitors or diuretics), dialysis (in advanced stages), kidney transplant (in end-stage kidney disease), management of associated complications (such as anemia or bone disease), regular monitoring and follow-up with a nephrologist, education and support for self-care",
Goiter,"Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","Enlarged thyroid gland in the neck, swelling or visible protrusion, difficulty swallowing or breathing","Treatment depends on the underlying cause (medication, radioactive iodine therapy, surgery)",
Type 1 Diabetes,"Frequent urination, Increased thirst, Weight loss","Frequent urination, Increased thirst, Weight loss","Insulin therapy, Blood sugar monitoring, Healthy eating, Regular exercise",
Dislocation of the Elbow,"Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Severe pain, visible deformity, swelling, inability to move the elbow, numbness or tingling in the hand/arm","Closed reduction (realigning the bones without surgery), immobilization (splint or cast), physical therapy, pain management, surgical intervention (in complex or recurrent cases)",
Rabies,"Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","Flu-like symptoms (fever, headache, fatigue), anxiety, confusion, hallucinations, difficulty swallowing","Immediate medical attention (post-exposure prophylaxis), wound care, administration of rabies vaccine and immunoglobulin, supportive care, monitoring and management of symptoms",
Contact Dermatitis,"Itchy, red rash caused by contact with irritants or allergens","Itchy, red rash caused by contact with irritants or allergens","Avoiding the trigger, corticosteroid creams or ointments, antihistamines",
Hemophilia,"Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","Excessive bleeding and bruising, prolonged bleeding from wounds or after dental work or surgery, spontaneous bleeding in joints or muscles","Replacement therapy with clotting factor concentrates, medications to control bleeding, physical therapy, joint protection measures, genetic counseling and testing for family members",
Open Wound from Surgical Incision,"Redness, swelling, discharge from the wound","Redness, swelling, discharge from the wound","Wound care (cleaning, dressing changes), antibiotics (if infection is present), surgical interventions",
Chronic Migraine,"Recurrent, disabling migraines","Recurrent, disabling migraines","Medications (such as preventive medications, pain relievers, triptans), lifestyle modifications (such as identifying triggers, stress management, regular sleep patterns), relaxation techniques, biofeedback, cognitive-behavioral therapy, nerve blocks, Botox injections, neuromodulation devices, acupuncture",
Hyperkalemia,"Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting","Muscle weakness or fatigue, irregular heartbeat or palpitations, numbness or tingling, nausea or vomiting","Treatment of underlying cause, medications to reduce potassium levels, dietary modifications, dialysis (in severe cases)",
Fibromyalgia,"Widespread musculoskeletal pain, fatigue, sleep disturbances","Widespread musculoskeletal pain, fatigue, sleep disturbances","Medications (such as pain relievers, antidepressants, anticonvulsants), physical therapy, cognitive-behavioral therapy, stress management techniques, exercise, relaxation techniques, good sleep hygiene",
Bipolar Disorder,"Mood swings, manic episodes, depressive episodes","Mood swings, manic episodes, depressive episodes","Medications (mood stabilizers, antipsychotics), therapy",
Sedatives Poisoning,"Drowsiness, confusion, slowed breathing","Drowsiness, confusion, slowed breathing","Immediate medical attention, supportive care, antidote administration",
Migraine,"headache, nausea, sensitivity to light, visual disturbances","headache, nausea, sensitivity to light, visual disturbances","pain relief medication, rest, cold compress",
Plantar Fasciitis,"Heel pain, tenderness, difficulty walking","Heel pain, tenderness, difficulty walking","Rest, stretching exercises, orthotic devices, physiotherapy",
Priapism,"Persistent, painful erection","Persistent, painful erection","Medical intervention (aspiration, medication, surgery)",
Gestational Hypertension,High blood pressure without proteinuria (preeclampsia),High blood pressure without proteinuria (preeclampsia),"Monitoring blood pressure, lifestyle modifications (such as salt restriction, regular exercise), medication (such as antihypertensive drugs) if necessary, close monitoring by healthcare provider",
Pyelonephritis,"Fever, chills, back or flank pain, frequent urination","Fever, chills, back or flank pain, frequent urination","Antibiotics (such as fluoroquinolones, cephalosporins, or trimethoprim-sulfamethoxazole) to target the specific bacteria causing the infection, adequate hydration, pain management (such as over-the-counter pain relievers or prescription medications), hospitalization (for severe cases or complications), urine culture to guide antibiotic therapy",
Drug Abuse (Cocaine),"Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","Euphoria, increased energy, dilated pupils, rapid heart rate, high blood pressure, risk of heart attack or stroke","Medical detoxification, counseling, behavioral therapies, support groups",
Gout,"Intense joint pain, swelling, redness","Intense joint pain, swelling, redness","Medications (nonsteroidal anti-inflammatory drugs, colchicine), lifestyle changes",
Narcolepsy,"Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)","Excessive daytime sleepiness, sudden loss of muscle tone (cataplexy)","Stimulant medications, antidepressants, lifestyle modifications, scheduled naps",
Submandibular stones,"Swelling, pain, dry mouth, bad taste","Swelling, pain, dry mouth, bad taste","Hydration,Saliva stimulation, Stone removal",
Dental Caries,"Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath","Toothache, tooth sensitivity, visible pits or holes in the teeth, dark spots on the teeth, bad breath","Dental fillings, crowns, root canal treatment, tooth extraction (in severe cases), oral hygiene practices (brushing and flossing), regular dental check-ups, fluoride treatments, dietary modifications (reducing sugary and acidic foods and drinks), dental sealants (for prevention), education on proper oral care",
Vitamin B12 Deficiency,"Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Fatigue, weakness, pale skin, shortness of breath, tingling or numbness in the hands and feet, balance problems, sore tongue","Vitamin B12 supplementation (such as oral supplements or injections), dietary changes to include B12-rich foods (such as meat, fish, eggs, and dairy products), identification and management of underlying causes (such as pernicious anemia or malabsorption disorders), management of associated symptoms or complications (such as nerve pain or balance problems), regular monitoring of B12 levels and treatment adjustment",
Testicular Cancer,"Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","Lump or swelling in the testicles, pain or discomfort, changes in testicular size or shape","Surgery (orchiectomy), chemotherapy, radiation therapy, surveillance (for some cases)",
Peyronie Disease,"Curvature of the penis, pain during erections","Curvature of the penis, pain during erections","Medications, traction therapy, surgery",
Hepatitis due to a Toxin,"Fatigue, jaundice, abdominal pain, nausea, vomiting","Fatigue, jaundice, abdominal pain, nausea, vomiting","Supportive care, removal or avoidance of the toxic substance, management of symptoms",
Foreign Body in the Throat,"Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking","Sensation of a foreign object stuck in the throat, difficulty swallowing or speaking","Immediate medical attention, removal of the foreign body, evaluation for any complications",
Stenosis of the Tear Duct,"Excessive tearing, eye discharge, recurrent eye infections","Excessive tearing, eye discharge, recurrent eye infections","Tear duct probing, dilation, surgical correction",
Lateral Epicondylitis (Tennis Elbow),"Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Pain or tenderness on the outer side of the elbow, weak grip strength, difficulty with forearm movements","Rest, ice or cold therapy, compression, elbow brace or strap, pain relievers, physical therapy exercises, corticosteroid injections (in severe cases), ergonomic modifications",
Attention Deficit Hyperactivity Disorder (ADHD),"Inattention, hyperactivity, impulsivity","Inattention, hyperactivity, impulsivity","Behavioral therapy, parent training programs, medication (such as stimulants or non-stimulants), individualized education plans (IEPs) for academic support, accommodations and modifications in school, psychoeducation, counseling",
Tuberous Sclerosis,"Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Benign tumors in various organs, seizures, developmental delays, skin abnormalities","Medications (anti-seizure, behavioral, etc.), surgery (for tumor removal), therapy (physical, occupational, speech), educational interventions, support services, genetic counseling, monitoring of organ involvement",
Pulmonic Valve Disease,"Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Fatigue, shortness of breath, chest pain or discomfort, heart palpitations, fainting or lightheadedness, swollen legs or ankles","Medications (such as diuretics, beta-blockers, or calcium channel blockers), surgical interventions (such as balloon valvuloplasty or valve replacement), lifestyle modifications (such as regular exercise, heart-healthy diet, smoking cessation), regular follow-up with a cardiologist",
Pelvic Organ Prolapse,"Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse","Pelvic pressure or heaviness, urinary incontinence, bowel movement difficulties, discomfort or pain during intercourse","Pelvic floor exercises, pessary use, hormone therapy, surgical repair (in severe cases)",
"Sedative, Hypnotic, or Anxiolytic Use Disorder","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Sedation, relaxation, reduced anxiety, drowsiness, poor coordination, memory impairment, withdrawal symptoms (such as rebound anxiety, insomnia, tremors) when attempting to stop or reduce use, continued use despite negative consequences (such as relationship problems, health risks)","Gradual tapering off sedatives, hypnotics, or anxiolytics under medical supervision, counseling or therapy (such as cognitive-behavioral therapy), support groups, addressing underlying psychological or social factors, lifestyle changes, addressing co-occurring mental health conditions, harm reduction strategies, ongoing monitoring and support",
Atrial Fibrillation,"Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","Irregular or rapid heartbeat, palpitations, shortness of breath, chest pain or discomfort, dizziness or lightheadedness, fatigue","Medications (antiarrhythmics, anticoagulants), electrical cardioversion, catheter ablation, lifestyle changes",
Asthma,"Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Recurrent episodes of wheezing, shortness of breath, chest tightness, coughing, especially at night or in response to triggers such as allergens or exercise","Long-term control medications (such as inhaled corticosteroids, long-acting beta-agonists), quick-relief medications (such as short-acting beta-agonists), avoidance of triggers (such as allergens, smoke), regular monitoring of symptoms and lung function, development of an asthma action plan, proper inhaler technique, regular follow-up with a healthcare provider, emergency medications (such as oral corticosteroids) as needed",
Edward Syndrome,"Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","Developmental delays, intellectual disability, distinct facial features (small jaw, low-set ears), heart defects","Supportive care, addressing associated medical issues, early intervention programs, palliative care",
West Nile Virus,"Fever, headache, body aches, rash","Fever, headache, body aches, rash","Supportive care, symptom management, prevention of mosquito bites",
Obesity,"Excessive body weight, increased risk of chronic conditions","Excessive body weight, increased risk of chronic conditions","Antifungal medication eg  Amphotericin B, Fluconazole, supportive care",
Hypertension,"headache, dizziness, blurred vision","headache, dizziness, blurred vision","medication, diet change, exercise",
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating","Swelling, pain, tenderness, difficulty eating","Warm compresses, Saliva stimulation, Sialagogues, Stone removal ",
Hyperopia,"Difficulty seeing objects up close, blurred vision when focusing on near objects","Difficulty seeing objects up close, blurred vision when focusing on near objects","Eyeglasses, contact lenses, refractive surgery",
Liver Cancer,"Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Abdominal pain, jaundice (yellowing of the skin and eyes), unexplained weight loss, loss of appetite, fatigue, nausea, vomiting","Surgery, Radiation therapy, Chemotherapy, Targeted therapy, Immunotherapy, Radiofrequency ablation, Transarterial chemoembolization (TACE), Selective internal radiation therapy (SIRT), Palliative care, Clinical trials",
Chalazion,"Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling","Painful, red lump or swelling on the eyelid, usually on the upper eyelid, sensitivity to light, blurred vision (if the chalazion affects the line of sight), mild discomfort, tenderness, localized inflammation and swelling","Warm compresses (to help soften and promote drainage of the blocked oil gland), gentle massage of the affected area, eyelid hygiene (keeping the area clean), over-the-counter lubricating eye drops, topical antibiotic ointments (if there is a risk of infection), corticosteroid injections (for larger or persistent chalazia), surgical drainage or excision (in rare cases or if conservative treatments are ineffective)",
Hypocalcemia,"Numbness or tingling in fingers or around the mouth, muscle cramps","Numbness or tingling in fingers or around the mouth, muscle cramps","Calcium and vitamin D supplements, treating underlying causes, intravenous calcium (in severe cases)",
Viral Warts,"Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions","Small, rough growths on the skin or mucous membranes, typically painless, may appear in clusters or as single lesions","Topical treatments (salicylic acid, cryotherapy), laser therapy, surgical removal, immune therapy (for persistent or recurrent cases)",
Spondylitis,"Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","Chronic back pain and stiffness, especially in the morning or after periods of inactivity, limited range of motion in the spine, fatigue, inflammation and pain in other joints (such as hips, shoulders, knees), discomfort or pain in the neck, difficulty maintaining proper posture, tenderness or swelling in affected areas, tingling or numbness in extremities in severe cases","Medication (such as nonsteroidal anti-inflammatory drugs, corticosteroids, disease-modifying antirheumatic drugs), physical therapy (including stretching and strengthening exercises), heat or cold therapy, posture correction techniques, lifestyle modifications (such as regular exercise, weight management), assistive devices (such as braces or supports), surgical intervention (in rare cases), pain management techniques (such as acupuncture or transcutaneous electrical nerve stimulation)",
